Row Labels,NEGATIVE,NEUTRAL,POSITIVE,Grand Total
5/21/2021,1,13,9,23
5/22/2021,5,13,5,23
5/23/2021,3,10,8,21
5/24/2021,1,19,8,28
5/25/2021,5,14,12,31
5/26/2021,5,11,11,27
5/27/2021,1,21,11,33
5/28/2021,8,19,12,39
5/29/2021,4,11,15,30
5/30/2021,2,11,11,24
5/31/2021,4,10,8,22
6/1/2021,5,18,11,34
6/2/2021,3,21,14,38
6/3/2021,9,20,11,40
6/4/2021,14,39,31,84
6/5/2021,14,44,52,110
6/6/2021,17,41,32,90
6/7/2021,16,24,25,65
6/8/2021,9,16,17,42
6/9/2021,9,14,17,40
6/10/2021,3,10,11,24
6/11/2021,1,17,10,28
6/12/2021,7,12,9,28
6/13/2021,3,10,11,24
6/14/2021,4,7,4,15
6/15/2021,2,14,10,26
6/16/2021,3,7,7,17
6/17/2021,4,3,6,13
6/18/2021,,3,5,8
